step,branch,rows,coreml_sequence
0,0,1024,1
0,1,1024,2
0,2,1088,3
0,3,1088,4
0,4,1088,5
0,5,1088,6
0,6,1088,7
0,7,1088,8
0,8,1088,9
0,9,1088,10
0,10,1088,11
0,11,1088,12
0,12,1088,13
0,13,1088,14
0,14,1088,15
0,15,1088,16
0,16,1088,17
0,17,1088,18
0,18,1088,19
0,19,1088,20
0,20,1088,21
0,21,1088,22
0,22,1088,23
0,23,1088,24
0,24,1088,25
0,25,1088,26
0,26,1088,27
0,27,1088,28
0,28,1088,29
0,29,1088,30
0,30,1088,31
0,31,1088,32
1,0,1024,33
1,1,1024,34
1,2,1088,35
1,3,1088,36
1,4,1088,37
1,5,1088,38
1,6,1088,39
1,7,1088,40
1,8,1088,41
1,9,1088,42
1,10,1088,43
1,11,1088,44
1,12,1088,45
1,13,1088,46
1,14,1088,47
1,15,1088,48
1,16,1088,49
1,17,1088,50
1,18,1088,51
1,19,1088,52
1,20,1088,53
1,21,1088,54
1,22,1088,55
1,23,1088,56
1,24,1088,57
1,25,1088,58
1,26,1088,59
1,27,1088,60
1,28,1088,61
1,29,1088,62
1,30,1088,63
1,31,1088,64
2,0,1024,65
2,1,1024,66
2,2,1088,67
2,3,1088,68
2,4,1088,69
2,5,1088,70
2,6,1088,71
2,7,1088,72
2,8,1088,73
2,9,1088,74
2,10,1088,75
2,11,1088,76
2,12,1088,77
2,13,1088,78
2,14,1088,79
2,15,1088,80
2,16,1088,81
2,17,1088,82
2,18,1088,83
2,19,1088,84
2,20,1088,85
2,21,1088,86
2,22,1088,87
2,23,1088,88
2,24,1088,89
2,25,1088,90
2,26,1088,91
2,27,1088,92
2,28,1088,93
2,29,1088,94
2,30,1088,95
2,31,1088,96
3,0,1024,97
3,1,1024,98
3,2,1088,99
3,3,1088,100
3,4,1088,101
3,5,1088,102
3,6,1088,103
3,7,1088,104
3,8,1088,105
3,9,1088,106
3,10,1088,107
3,11,1088,108
3,12,1088,109
3,13,1088,110
3,14,1088,111
3,15,1088,112
3,16,1088,113
3,17,1088,114
3,18,1088,115
3,19,1088,116
3,20,1088,117
3,21,1088,118
3,22,1088,119
3,23,1088,120
3,24,1088,121
3,25,1088,122
3,26,1088,123
3,27,1088,124
3,28,1088,125
3,29,1088,126
3,30,1088,127
3,31,1088,128
4,0,1024,129
4,1,1024,130
4,2,1088,131
4,3,1088,132
4,4,1088,133
4,5,1088,134
4,6,1088,135
4,7,1088,136
4,8,1088,137
4,9,1088,138
4,10,1088,139
4,11,1088,140
4,12,1088,141
4,13,1088,142
4,14,1088,143
4,15,1088,144
4,16,1088,145
4,17,1088,146
4,18,1088,147
4,19,1088,148
4,20,1088,149
4,21,1088,150
4,22,1088,151
4,23,1088,152
4,24,1088,153
4,25,1088,154
4,26,1088,155
4,27,1088,156
4,28,1088,157
4,29,1088,158
4,30,1088,159
4,31,1088,160
5,0,1024,161
5,1,1024,162
5,2,1088,163
5,3,1088,164
5,4,1088,165
5,5,1088,166
5,6,1088,167
5,7,1088,168
5,8,1088,169
5,9,1088,170
5,10,1088,171
5,11,1088,172
5,12,1088,173
5,13,1088,174
5,14,1088,175
5,15,1088,176
5,16,1088,177
5,17,1088,178
5,18,1088,179
5,19,1088,180
5,20,1088,181
5,21,1088,182
5,22,1088,183
5,23,1088,184
5,24,1088,185
5,25,1088,186
5,26,1088,187
5,27,1088,188
5,28,1088,189
5,29,1088,190
5,30,1088,191
5,31,1088,192
6,0,1024,193
6,1,1024,194
6,2,1088,195
6,3,1088,196
6,4,1088,197
6,5,1088,198
6,6,1088,199
6,7,1088,200
6,8,1088,201
6,9,1088,202
6,10,1088,203
6,11,1088,204
6,12,1088,205
6,13,1088,206
6,14,1088,207
6,15,1088,208
6,16,1088,209
6,17,1088,210
6,18,1088,211
6,19,1088,212
6,20,1088,213
6,21,1088,214
6,22,1088,215
6,23,1088,216
6,24,1088,217
6,25,1088,218
6,26,1088,219
6,27,1088,220
6,28,1088,221
6,29,1088,222
6,30,1088,223
6,31,1088,224
7,0,1024,225
7,1,1024,226
7,2,1088,227
7,3,1088,228
7,4,1088,229
7,5,1088,230
7,6,1088,231
7,7,1088,232
7,8,1088,233
7,9,1088,234
7,10,1088,235
7,11,1088,236
7,12,1088,237
7,13,1088,238
7,14,1088,239
7,15,1088,240
7,16,1088,241
7,17,1088,242
7,18,1088,243
7,19,1088,244
7,20,1088,245
7,21,1088,246
7,22,1088,247
7,23,1088,248
7,24,1088,249
7,25,1088,250
7,26,1088,251
7,27,1088,252
7,28,1088,253
7,29,1088,254
7,30,1088,255
7,31,1088,256
8,0,1024,257
8,1,1024,258
8,2,1088,259
8,3,1088,260
8,4,1088,261
8,5,1088,262
8,6,1088,263
8,7,1088,264
8,8,1088,265
8,9,1088,266
8,10,1088,267
8,11,1088,268
8,12,1088,269
8,13,1088,270
8,14,1088,271
8,15,1088,272
8,16,1088,273
8,17,1088,274
8,18,1088,275
8,19,1088,276
8,20,1088,277
8,21,1088,278
8,22,1088,279
8,23,1088,280
8,24,1088,281
8,25,1088,282
8,26,1088,283
8,27,1088,284
8,28,1088,285
8,29,1088,286
8,30,1088,287
8,31,1088,288
