suite,stem,M,H,F,heads,layers,gpu_wall_p50_ms,hetero_wall_p50_ms,gpu_wall_p95_ms,hetero_wall_p95_ms,speedup,nrmse,cosine,gpu_reference_nrmse,hetero_reference_nrmse,quality_pass,process_s
screen,1024x1024_cpu_L1_r0,1024,1024,4096,16,1,8.748208,9.116,8.943379,10.853783,0.959654,0.000235,1.0,0.0,0.0,True,0.8170752919977531
screen,1024x1024_cpu_L2_r0,1024,1024,4096,16,2,17.616229,18.470584,18.005844,20.583306,0.953745,0.00064,1.0,0.0,0.0,True,1.5769690839806572
screen,1024x1024_cpu_L3_r0,1024,1024,4096,16,3,26.336833,26.8875,27.776943,29.440548,0.97952,0.000867,1.0,0.0,0.0,True,2.3071599579416215
screen,1024x1024_projection50_L1_r0,1024,1024,4096,16,1,8.763541,7.955542,9.801904,8.261054,1.101564,0.000493,1.0,0.0,0.0,True,1.0970455000642687
screen,1024x1024_projection50_L2_r0,1024,1024,4096,16,2,17.611688,15.753334,19.310016,16.105085,1.117966,0.000866,1.0,0.0,0.0,True,1.7449768329970539
screen,1024x1024_projection50_L3_r0,1024,1024,4096,16,3,26.516583,23.79423,28.315704,24.604892,1.114412,0.001071,0.999999,0.0,0.0,True,2.4609634580556303
screen,1024x1024_sp50_L1_r0,1024,1024,4096,16,1,8.750458,7.257625,9.680619,7.423629,1.205692,0.005589,0.999984,0.0,0.0,True,1.5409418749623
screen,1024x1024_sp50_L2_r0,1024,1024,4096,16,2,17.507167,14.221979,18.961567,14.661727,1.230994,0.007322,0.999973,0.0,0.0,True,2.2267797499662265
screen,1024x1024_sp50_L3_r0,1024,1024,4096,16,3,26.093874,21.146021,27.737637,21.767202,1.233985,0.008194,0.999966,0.0,0.0,True,2.8549608750035986
screen,1024x1024_tp25_L1_r0,1024,1024,4096,16,1,8.675021,7.982604,9.461846,8.065948,1.086741,0.003975,0.999992,0.0,0.0,True,1.1811226659920067
screen,1024x1024_tp25_L2_r0,1024,1024,4096,16,2,17.577416,16.090854,19.366994,16.273084,1.092386,0.00523,0.999986,0.0,0.0,True,1.6948907499900088
screen,1024x1024_tp25_L3_r0,1024,1024,4096,16,3,26.386438,24.148792,27.890937,24.414719,1.092661,0.005819,0.999983,0.0,0.0,True,2.4278281669830903
screen,1024x1024_tp50_L1_r0,1024,1024,4096,16,1,8.710896,7.067042,8.883116,7.332885,1.232608,0.005593,0.999984,0.0,0.0,True,1.1562892500078306
screen,1024x1024_tp50_L2_r0,1024,1024,4096,16,2,17.516771,13.991521,18.575348,14.741098,1.251956,0.007343,0.999973,0.0,0.0,True,1.8117557079531252
screen,1024x1024_tp50_L3_r0,1024,1024,4096,16,3,26.445459,19.409646,27.679569,21.446221,1.362491,0.008168,0.999967,0.0,0.0,True,2.445613499963656
screen,1024x1024_tp75_L1_r0,1024,1024,4096,16,1,8.746104,7.483937,8.989271,8.323815,1.16865,0.006854,0.999977,0.0,0.0,True,1.3615414999658242
screen,1024x1024_tp75_L2_r0,1024,1024,4096,16,2,17.573208,13.485812,18.9465,16.125121,1.303089,0.008979,0.99996,0.0,0.0,True,2.014288541977294
